file_name,state,inference_transcript,transcript,reviewed_transcript,url,created_at,submitted_at,reviewed_at,audio_duration,original_id
STT_GR_0128_0880_4398567_to_4399630,submitted,གནས་ལུགས་ཟསེ་པ,གནས་ལུགས་ཟེར་བར་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0128_0880_4398567_to_4399630.wav,2025-08-13 17:20:19.435,2025-08-23 17:02:38.379,,1.063,STT_GR_0128
STT_GR_0128_0914_4565241_to_4566287,submitted,ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་ནང་ལ།,ཀུན་ཏུ་བཟང་པོའི་སྨོན་ལམ་ནང་ལ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0128_0914_4565241_to_4566287.wav,2025-08-13 17:20:19.435,2025-08-23 17:20:35.916,,1.046,STT_GR_0128
STT_GR_0034_2282_6168776_to_6170664,accepted,སངས་རྒྱས་སྐོར་ཆོག་དེ་ན་དེ་རིང།  ,སངས་རྒྱས་དཀོན་མཆོག་བརྫས་ན་དེ་རེད་,སངས་རྒྱས་དཀོན་མཆོག་བརྫས་ན་དེ་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0034_2282_6168776_to_6170664.wav,2025-06-20 16:42:28.134,2025-07-25 15:16:04.651,2025-10-20 20:27:25.861,1.888,STT_GR_0034
STT_GR_0034_2264_6136936_to_6137864,accepted,དགེ་སནུན།  ,དགེ་འདུན་,དགེ་འདུན་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0034_2264_6136936_to_6137864.wav,2025-06-20 16:42:28.134,2025-07-25 15:12:07.738,2025-10-20 20:22:35.236,0.928,STT_GR_0034
STT_GR_0034_2265_6137928_to_6138888,accepted,ཕར་དེ་ལ་དེ་རིང།  ,པ་དེ་ལ་དེ་ནས་,པ་དེ་ལ་དེ་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0034_2265_6137928_to_6138888.wav,2025-06-20 16:42:28.134,2025-07-25 15:12:13.423,2025-10-20 20:22:40.242,0.96,STT_GR_0034
STT_GR_0035_0652_1767632_to_1768688,accepted,རང་གི་ནག་མེད་ལར་རྒྱི།  ,རང་གི་ནང་མི་ནང་བཞིན་,རང་གི་ནང་མི་ནང་བཞིན་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0652_1767632_to_1768688.wav,2025-06-20 16:42:28.134,2025-07-26 15:12:22.188,2025-10-21 05:44:45.599,1.056,STT_GR_0035
STT_GR_0128_1024_5083692_to_5085615,submitted,རང་གི་སེམས་ཀྱི་གནས་ལུགས།,རང་གི་སེམས་ཀྱི་གནས་ལུགས།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0128_1024_5083692_to_5085615.wav,2025-08-13 17:20:19.435,2025-08-23 17:27:24.405,,1.923,STT_GR_0128
STT_GR_0129_0009_71817_to_73184,submitted,དབང་འོང་ཆོས་ཀྱི་ྱུགས་,དབང་ལུང་ཆོས་ཀྱིས་ཕྱུགས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0129_0009_71817_to_73184.wav,2025-08-13 17:20:19.435,2025-08-23 17:36:42.170,,1.367,STT_GR_0129
STT_GR_0035_0659_1782320_to_1783376,accepted,ཚེ་རི་ྡེད་པའི་རྗེས་ལ།  ,དེ་ནས་དེ་ཡི་རྗེས་ལ་,དེ་ནས་དེ་ཡི་རྗེས་ལ་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0659_1782320_to_1783376.wav,2025-06-20 16:42:28.134,2025-07-26 15:35:32.705,2025-10-21 05:46:39.687,1.056,STT_GR_0035
STT_GR_0035_0651_1764560_to_1766352,accepted,ཨོ། མི་སྟོང་ཕྲག་དེ་ང་ཚོང་ྲང།  ,ཨོ་མི་སྟོང་ཕྲག་གཅིག་གི་ནང་ལ་སོང་ན་,ཨོ་མི་སྟོང་ཕྲག་གཅིག་གི་ནང་ལ་སོང་ན་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0651_1764560_to_1766352.wav,2025-06-20 16:42:28.134,2025-07-26 15:12:13.994,2025-10-21 05:44:41.636,1.792,STT_GR_0035
STT_GR_0035_0654_1770736_to_1773072,accepted,ཐོ་མ་ངོ་ཤིས་པ་དེ་མིང་མར་ཤི་རོང།  ,མཐའ་མ་ངོ་ཤེས་པ་དེ་ནས་མིང་མ་ཤེས་རུང་,མཐའ་མ་ངོ་ཤེས་པ་དེ་ནས་མིང་མ་ཤེས་རུང་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0654_1770736_to_1773072.wav,2025-06-20 16:42:28.134,2025-07-26 15:33:43.846,2025-10-21 05:45:09.086,2.336,STT_GR_0035
STT_GR_0035_0669_1804048_to_1806448,accepted,ཤོག་ཆག་དེ་ཚེ་བ་དེ། ྱོངན་མི་བྱུང་བ་ཡོང་གི་ཡོད་རེད།  ,སྲོག་ཆགས་ཀྱི་འཚེ་བ་དེ་སེམས་ལ་མི་བཟོད་པ་ཡོང་གི་ཡོད་རེད་,སྲོག་ཆགས་དེའི་འཚེ་བ་དེ་སེམས་ལ་མི་བཟོད་པ་ཡོང་གི་ཡོད་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0669_1804048_to_1806448.wav,2025-06-20 16:42:28.134,2025-07-26 15:38:22.336,2025-10-21 05:49:36.145,2.4,STT_GR_0035
STT_GR_0035_0672_1809904_to_1810448,accepted,སྤོ་བོ་ག་རེ་ཡོད།  ,སྤོ་ལོ་གར་བཞག་,ཕྲུ་གུས་གར་བཞག་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0672_1809904_to_1810448.wav,2025-06-20 16:42:28.134,2025-07-26 15:39:06.000,2025-10-21 05:50:34.109,0.544,STT_GR_0035
STT_GR_0035_0674_1812080_to_1813040,accepted,པུ་གུ་ཁ་ཤས་ཡོད་ལ།  ,པུ་གུ་ཁ་ཤས་ཡོད་ན་,ཕྲུ་གུ་ཁ་ཤས་ཡོད་ན་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_0674_1812080_to_1813040.wav,2025-06-20 16:42:28.134,2025-07-26 15:39:30.748,2025-10-21 05:50:44.234,0.96,STT_GR_0035
STT_GR_0035_2076_5791576_to_5793367,accepted,བདག་མེད་པའི་ཟོ་བ་དེ་ྗིན་ྲིགས་པའི་བློ།  ,བདག་མེད་པའི་དོན་དེ་གཞན་ཕན་གྱི་བློ་,བདག་མེད་པའི་དོན་དེ་གཞན་ཕན་གྱི་བློ་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2076_5791576_to_5793367.wav,2025-06-20 16:42:28.134,2025-07-29 20:09:16.823,2025-10-21 06:44:05.945,1.791,STT_GR_0035
STT_GR_0035_2072_5784312_to_5786968,accepted,དེ་ཡིན་པ། བདག་འདིན་གི་རང་འོག་ལད། ལས་བསག་པ།  ,དེ་ཡིན་པ་ཡི་བདག་འཛིན་གྱི་དབང་འོག་ནས་ལས་བསགས་པ་,དེ་ཡིན་པ་ཡི་བདག་འཛིན་གྱི་རང་འོག་ལས་ལས་བསགས་པ།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2072_5784312_to_5786968.wav,2025-06-20 16:42:28.134,2025-07-29 20:08:40.538,2025-10-21 06:43:25.005,2.656,STT_GR_0035
STT_GR_0035_2073_5787352_to_5788983,accepted,དེ་ཙ་ད་རང་ལ་ཚོར་མིག་ཡོང་དགོས་རེད།  ,དེ་ལྟ་ང་ཚོར་ཚུར་སྨིན་ཡོང་གི་ཡོད་རེད་,དེ་ལྟ་རང་ལ་ཚུར་སྨིན་ཡོང་གི་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2073_5787352_to_5788983.wav,2025-06-20 16:42:28.134,2025-07-29 20:08:56.346,2025-10-21 06:43:52.220,1.631,STT_GR_0035
STT_GR_0035_2074_5789304_to_5790296,accepted,ཧ་གོང་ནས་ ,ཧ་གོ་ནས་,ཧ་གོ་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2074_5789304_to_5790296.wav,2025-06-20 16:42:28.134,2025-07-29 20:09:01.203,2025-10-21 06:43:55.692,0.992,STT_GR_0035
STT_GR_0035_2075_5790584_to_5791224,accepted,དེ་ནས་དེ་ལ།  ,དེ་ནས་དེ་ལ།  ,དེ་ནས་དེ་ལ།  ,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2075_5790584_to_5791224.wav,2025-06-20 16:42:28.134,2025-07-29 20:09:03.443,2025-10-21 06:43:58.690,0.64,STT_GR_0035
STT_GR_0035_2077_5793816_to_5797175,accepted,ཨོ། ཚེབས་ྐཅིད་ཐམས་ཅད་ཀི་ཚབ་ཡིན། སེམས་ཅན་ཐམ་ཅས།  ,ཨོ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཚབ་ཡིན་སེམས་ཅན་ཐམས་ཅད་ཀྱི་,ཨོ། སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཚབ་ཡིན། སེམས་ཅན་ཐམས་ཅད་ཀྱི་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2077_5793816_to_5797175.wav,2025-06-20 16:42:28.134,2025-07-29 20:09:31.865,2025-10-21 06:44:23.247,3.359,STT_GR_0035
STT_GR_0132_0138_00_1732654_to_1738037,submitted,ཚེས་རབ་ནནཀྱི་ལྷག་ཀར་དེ་ཉམས་སུ་ལེན་དགོས་རེད་དེ། དད་པ་མྱོང་པའི་སྐབས་ནས་དེ་ནས། ཚང་མ་དེ་ན་འཛམ་བུ་གླིང་ག་ཆུ།,ཚེ་རབས་ལས་ཀྱི་ལྷ་སྐལ་དེ་ཉམས་སུ་ལེན་དགོས་རེད། དད་པ་འཇོག་པའི་སྐབས་ནས་ཚང་མ་དེ་ནས་འཛམ་བུ་གླིང་ཆོས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0132_0138_00_1732654_to_1738037.wav,2025-08-13 17:20:19.435,2025-08-25 19:42:30.542,,5.383,STT_GR_0132
STT_GR_0132_0138_01_1738037_to_1743420,submitted,་པ་ཐམས་ཅད་ལ་ཡག་པོ་བྱེད། མཚུ་འགྲུལ་གཞེད། ཨོ་ཚང་མར་གུས་པ་ཞུས། སྙིང་ཐག་པ་ནས་དེ་ནས,ལུགས་པ་ཐམས་ཅད་ལ་ཡག་པོ་བྱེད་མཐུན་སྒྲིལ་བྱེད། འོ་ཚང་མར་གུས་པ་ཞུ་སྙིང་ཐག་པ་ནས་དེ་ནས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0132_0138_01_1738037_to_1743420.wav,2025-08-13 17:20:19.435,2025-08-25 19:43:18.272,,5.383,STT_GR_0132
STT_GR_0035_2090_5825000_to_5827300,accepted,ཡིད་ཀྱི་གཏོང་ཡ་དེ་དཔེར་ན་ད་དག ,གཞན་གྱི་སྡུག་བསྔལ་དེ་དཔེར་ན་ད་ལྟ་,གཞན་གྱི་སྡུག་བསྔལ་དེ། དཔེར་ན་ད་ལྟ་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2090_5825000_to_5827300.wav,2025-06-20 16:42:28.134,2025-07-29 20:12:15.561,2025-10-21 06:46:37.220,2.3,STT_GR_0035
